FID,CH4,latitude,longitude,State
60947,1.95449136,39.27607588,-102.9750934,Colorado
60953,1.95457926,39.27621167,-102.9743614,Colorado
60959,1.95544529,39.27635106,-102.9736283,Colorado
60965,1.95518946,39.27648728,-102.9728935,Colorado
60971,1.9509257,39.27660009,-103.4813035,Colorado
60977,1.95340351,39.27675886,-102.9714185,Colorado
60983,1.95098216,39.27686653,-103.4790309,Colorado
60989,1.9525981,39.2769222,-103.4778937,Colorado
60995,1.95033259,39.27698472,-103.476003,Colorado
61001,1.95316765,39.27703101,-102.9699394,Colorado
61007,1.95130713,39.27710047,-103.4725972,Colorado
61013,1.95275875,39.27716888,-102.9692018,Colorado
61019,1.95158619,39.27722462,-103.4688134,Colorado
61025,1.95047406,39.27728316,-103.466917,Colorado
61031,1.95002078,39.27733455,-103.4653879,Colorado
61037,1.95059848,39.2774195,-103.4630844,Colorado
61043,1.95007478,39.27746828,-103.4619351,Colorado
61049,1.95025416,39.27753568,-103.4600279,Colorado
61055,1.95276043,39.27757567,-102.967025,Colorado
61061,1.9502449,39.27763297,-103.4570042,Colorado
61067,1.94890873,39.27772606,-103.4543704,Colorado
61073,1.94832498,39.27777255,-103.4528507,Colorado
61079,1.94313195,39.27781662,-103.0190345,Colorado
61085,1.94586367,39.27788943,-103.4494056,Colorado
61091,1.9457542,39.27795171,-103.4475023,Colorado
61097,1.94274345,39.2779977,-103.0197523,Colorado
61103,1.94041062,39.2780714,-103.7555873,Colorado
61109,1.95145493,39.2781085,-102.9641536,Colorado
61115,1.9475437,39.27815861,-103.4410569,Colorado
61121,1.94940841,39.27824758,-103.4384025,Colorado
61127,1.95058782,39.27831005,-102.9630733,Colorado
61133,1.94222885,39.27835559,-103.0211773,Colorado
61139,1.95271764,39.27843057,-103.4330671,Colorado
61145,1.95407428,39.27846729,-103.4311572,Colorado
61151,1.95043071,39.27851269,-102.9619896,Colorado
61157,1.95221487,39.27853862,-103.4284978,Colorado
61163,1.94177517,39.27861258,-103.0222397,Colorado
61169,1.95309006,39.27866661,-103.4246983,Colorado
